StGlasov	Leto	Dolzina	Ocena	Reziserji	Igralci	Zanri	Ime
continuous	continuous	continuous	slab povprecen dober	string	string	string	string
			class	meta	meta	meta	meta
30	2002	96	slab	83	567, 566, 5, 582, 583, 584, 585, 586, 570, 569, 568	3, 6	.com za umor
21	2002	97	slab	86	610, 611, 592, 608, 609, 587, 588, 589, 590, 591	2, 12	1 na 1
70	2000	91	slab	91	624, 614, 615, 612, 613, 616, 622, 623, 620, 621	1, 10	100 deklet
46	1996	103	slab	93	625, 618, 619, 617	1, 11, 13	101 dalmatinec
41	2001	120	slab	98	728, 730, 731, 690, 726	2, 3, 12	15 minut
85	1968	145	dober	40	679, 678, 677, 676, 674	18, 11	2001: Odiseja v vesolju
86	2003	124	povprecen	1	653, 652, 655, 654, 649, 648, 651, 650, 656	3, 8, 12	21 gramov
28	2002	135	dober	87	645, 644, 646, 451, 107, 643	8, 12	Poslednja noc
37	2001	125	slab	77	289, 532, 529, 528, 531, 530, 144, 526, 527, 30	1, 2, 12	3000 milj do Gracelanda
38	1982	96	slab	75	508, 516, 509, 510, 511, 512, 513, 514, 507, 515	1, 2, 12	48 ur
181	2004	95	povprecen	64	478, 479, 476, 477, 459, 458, 457, 456, 455	1, 10	50 prvih poljubov
55	2005	101	povprecen	61	440, 441, 424, 442, 443, 444, 437, 438, 423, 439	2, 3, 12	7 Sekund
12	1960	97	slab	42	311, 310, 313, 312, 315, 314, 317, 316, 319, 318	1, 8, 10	Skandalozna Olympija
73	1971	137	povprecen	40	291, 292, 293, 294, 295, 296, 297, 298, 299, 300	3, 8, 12	Peklenska pomaranca
34	2001	132	povprecen	27	237, 236, 235, 234, 266, 267, 265, 270, 268, 269	1, 2, 11	Vitezova usoda
13	2004	120	povprecen	20	171, 170, 169, 168, 6, 173, 172, 213, 214, 167, 166	8	Ljubezenska pesem za Bobbyja Longa
36	2003	110	slab	19	155, 156, 157, 158, 159, 163, 162, 161, 160, 164	2, 3, 12	Besno mascevanje
33	2004	133	povprecen	10, 13	102, 103, 100, 101, 98, 99, 96, 97, 104, 93, 92, 95, 94, 91, 90	17, 8	Zelo dolga zaroka
13	1997	100	povprecen	79	546, 544, 545, 541, 558, 540, 543, 557, 542, 483	1, 10	Suznja ljubezni
15	2001	91	slab	60	425, 410, 411, 408, 409, 426, 414, 412, 413, 407	2, 3	Panika v zraku
30	1980	86	povprecen	57, 56	402, 387, 386, 400, 383, 385, 401, 384, 389, 388	1	Ali je pilot v letalu?
27	1992	90	dober	55, 54	?	21, 13	Aladin
37	2002	88	povprecen	39	305, 304, 307, 306, 262, 309, 308, 301, 302, 303	1	Ali G
15	1951	75	slab	89, 88	?	21, 13, 14	Alica v Cudezni dezeli
96	1979	112	dober	35	263, 261, 603, 264, 605, 604, 607, 606	3, 18, 6	Osmi potnik (Reziserjeva verzija)
92	1992	114	povprecen	51	258, 259, 262, 260, 261, 124, 360, 361, 362, 363	2, 3, 18, 6	Osmi potnik 3
83	1997	109	povprecen	10	789, 101, 788, 38, 787, 786, 547, 785, 784, 261, 782	2, 3, 18, 6	Osmi potnik 4: Vstajenje
19	2001	104	povprecen	108	774, 775, 773, 733, 782, 783, 780, 781, 778, 779, 776, 777	3, 12	V pajkovi mrezi
62	2003	91	povprecen	100	700, 698, 699, 696, 697, 694, 695, 692, 693, 451	1, 10	In prisla je Polly
43	1980	112	slab	24	3148, 4182, 212, 1229, 211	8, 10, 12	Ameriski zigolo
47	2001	108	povprecen	23	205, 204, 207, 206, 201, 200, 203, 202, 208	1	Ameriska pita 2
27	2001	102	slab	118	518, 868, 870, 871, 872, 873, 874, 875, 877	8, 10	Angelske oci
47	1977	93	slab	125	926, 927, 924, 925, 771, 923, 929, 928, 931, 930	1, 10	Annie Hall
24	2005	170	slab	127	956, 957, 952, 953, 954, 955, 948, 949, 950, 951	3, 8, 10	Anthony Zimmer + Bazen
51	2005	91	povprecen	132	1001, 1000, 1003, 1002, 1005, 1004, 997, 331, 999, 998	13	A smo ze tam?
42	2001	96	dober	144, 145	1070, 1071, 1075, 1074, 454, 1073, 1072, 1078, 1077, 1076	21, 11, 13, 14	Atlantida: Izgubljeno cesarstvo
25	2000	104	slab	147	789, 749, 212, 1092, 1093, 1094, 1095, 1089, 1090, 1091	8, 10	Jesen v New Yorku
20	1994	99	dober	153	1117, 1116, 1119, 1118, 1113, 1115, 1114, 1122, 1120, 1121	1, 13	Trije lopovi in potepin
83	2003	146	dober	133	1134, 1135, 1132, 1119, 1133, 1131, 1124, 1125, 367, 1123, 1136	1, 2, 12	Podli fantje 2
12	1942	78	dober	159, 88	1168, 1167	21, 13	Bambi
15	2001	93	dober	162	1007, 1175, 1176, 1177, 1178, 1010, 901, 1179, 1180, 1181	1, 10, 12	Bandita
30	1975	184	dober	40	1186, 1185, 1191, 1190, 1189, 1188, 1193, 1192, 299	17, 8, 10	Barry Lyndon
29	1992	126	povprecen	168	772, 771, 767, 769, 109	2, 12, 14	Batmanova vrnitev - Posebna izdaja
21	2000	118	slab	175	1251, 1250, 1249, 1248, 1245, 214, 1246, 1042, 1247, 643	2, 18	Bojno polje Zemlja
19	1949	118	dober	176	1187, 1253, 1252, 3728, 1803, 3727	17, 2	Bojisce
13	2005	105	povprecen	178	1266, 200, 1207, 1267, 1264, 1265, 1263	1	Lepotilni salon
66	1988	92	slab	168	1290, 1291, 1288, 1289, 1292, 697, 1293, 485, 109, 1287	1, 6, 14	Beetle Juice
29	2001	106	slab	185	1307, 1311, 1310, 1309, 1308, 812, 1312, 1313, 213, 1013	17, 2, 3	Za sovraznikovo crto
14	2003	91	dober	188, 189	1337, 1339, 1338, 1341, 1340, 323, 1343, 1342, 1346, 1344, 1345	2	V zrelu zveri
84	2004	125	povprecen	168	1424, 1425, 767, 1419, 1008, 798, 95, 452, 1423, 1422, 1421, 1420	1, 8, 11, 14	Velika riba
16	2003	74	povprecen	208, 209	1458, 1459, 1460	21	Bionicle: Maska svetlobe
13	1994	88	dober	211	627, 1478, 1477, 1476, 1475, 1474, 1473, 1472, 1470, 1471	11, 13	Iskri vranec
88	2001	144	dober	35	1490, 1491, 1488, 1489, 525, 1479, 763, 1487, 1486, 1485, 1042, 1484, 1483, 1482, 1422, 1481, 1480	17, 2, 20, 8	Sestreljeni crni jastreb
54	2002	117	povprecen	212	1494, 1495, 1492, 1493, 38, 444, 1498, 1496, 1497, 284	2, 3, 6	Blade 2
12	2004	99	povprecen	216, 217	1524, 763, 1525, 1526, 1527, 1522, 1523, 1528, 1529, 378	2, 3	Mrtvo obzorje
48	2002	105	dober	218	1532, 1533, 1534, 1535, 1536, 1537, 1538, 1530, 1539, 1531	20, 8	Krvava nedelja
20	2004	124	slab	220	1550, 1551, 4, 1462, 1557, 1556, 1553, 1552, 1555, 1554	19, 2, 11	Blueberry
121	2004	108	slab	236	1659, 1017, 1658, 1657, 1656, 1663, 1664, 1662, 1661, 1660, 60	1, 10	Bridget Jones: Na robu pameti
13	1996	108	povprecen	43	531, 1682, 1683, 214, 192	2	Zlomljena puscica
85	2003	101	povprecen	3	700, 1714, 733, 1712, 1713, 1402, 1711, 1710, 1709, 1708, 26	1, 14	Vsemogocni Bruce
27	1999	105	povprecen	245	1719, 1716, 1717, 1715, 1720	5, 7	Buena Vista Social Club
67	2001	129	dober	259	1806, 1807, 1804, 1805, 662, 198, 604, 1810, 1809, 15, 1808	17, 8, 10	Corellijeva mandolina
100	2002	141	dober	136, 104	989, 1845, 1844, 1847, 856, 1846, 1841, 1840, 1843, 1842, 1839, 771, 158	22, 8, 12	Ujemi me, ce me mores
45	2001	87	povprecen	264	1100, 1875, 1874, 1873, 1872, 1879, 1878, 1877, 1876, 1870, 1871, 697, 1869, 329	1, 13, 14	Macke in psi
121	2005	110	dober	168	1912, 1020, 505, 735, 1419, 1296, 1909, 1908, 1911, 1910	11, 13, 14, 15	Carli in tovarna cokolade
81	2003	106	povprecen	269	1153, 478, 1925, 1923, 665, 1921, 1920, 976	1, 2, 11, 12	Carlijevi angelcki: S polno brzino
54	2001	121	dober	280	427, 429, 433, 4155, 434, 1296, 367	1, 8, 10	Cokolada
15	1999	65	dober	282	2017, 2016, 2018, 2015, 1137	1	Chris Rock: Vecji in temnejsi
46	2005	144	dober	48	2082, 327, 2083, 1657, 2086, 2087, 2084, 2085, 350	16, 22, 8	Cinderella man: Legenda o boksarju
51	2004	104	slab	120	2116, 2117, 84, 2118, 1408, 339, 922, 2113, 2114, 2115	8, 10	Bliznji odnosi
38	1995	97	slab	299	2133, 2132, 2135, 2134, 2129, 1207, 547, 870, 2131, 2130, 396	1, 10	Nimas pojma
68	2004	120	povprecen	305	2167, 2166, 978, 453, 2170, 2169, 2168	2, 3, 12	Stranski ucinki
13	1991	118	dober	308	2200, 2201, 2202, 2203, 2192, 2193, 2194, 2195, 2196, 2197, 2198, 2199, 2191, 2190	7, 8	Predrzni rokerji
31	1984	103	povprecen	311	2219, 2218, 2217, 2216, 2222, 1204, 2221, 2220, 2215, 1740	2, 11, 14	Konan unicevalec
11	2005	85	slab	314	2232, 2230, 2231, 1960, 2229	1, 8, 12	Amerisko dekle
43	1997	153	dober	318	2249, 277, 1489, 129, 2260, 2261, 1960, 2258, 607, 2259	18, 8	Stik
19	1996	117	povprecen	323	971, 775, 766, 1109, 40, 2290, 1723, 483, 2289	17, 2, 8	Pravi pogum
26	1986	97	dober	328	2323, 2322, 2327, 2326, 2325, 2324, 2331, 2330, 2329, 2328, 2333, 2332	1, 11	Krokodil Dundee
30	2005	105	slab	339	2421, 2420, 2423, 2422, 1834, 2419, 2418, 348, 2424, 1394	3, 6	Temacna voda
12	2003	90	slab	346	2473, 2475, 2474, 2477, 2476, 2479, 2478, 2480, 2481, 2482, 2483	2	Vlak smrti
32	2001	108	slab	212	2552, 2553, 2548, 2549, 2550, 2551	3, 6, 14	Hudiceva hrbtenica
29	2002	127	dober	108	2599, 1880, 4, 434, 2425, 2602, 2600	2, 3, 11	007 - Umri kdaj drugic
38	1987	100	dober	363	2624, 2625, 2626, 2623, 2622, 1619, 2621, 2620, 2619, 1513	7, 8, 10	Umazani ples
14	2002	116	slab	366	2656, 2657, 128, 874, 1073, 2500, 2653, 285, 2655, 2654	1, 8	Bozanske skrivnosti Ya Ya Sester
34	2001	83	povprecen	369, 368	729, 2662, 2147, 530, 515, 2666, 2667, 2664, 2665, 725	1, 13	Dr. Dolittle 2
19	1975	124	dober	371	926, 2675, 2679, 2678, 2677, 2676, 886, 2683, 2682, 2681, 2680, 2686, 2685, 2684	3, 8, 12	Pasje popoldne
18	2001	113	povprecen	377	154, 396, 125, 2739, 2092, 1470	3, 8, 12	Niti besede
12	1999	105	povprecen	379	1763, 1221, 2761, 2760, 2762, 2757, 2756, 2655, 2759, 2758	3, 8, 12	Pravica do umora
16	2000	98	povprecen	390, 389	2802, 2803, 332, 2801, 2178, 347, 2806, 2807, 2804, 2063, 2805	6	Drakula 2000
13	2003	85	slab	390	2810, 2811, 2808, 671, 2809, 1767, 2814, 2815, 2816, 2812, 1801, 2813	6	Drakula II: Vnebohod
22	2000	107	slab	403	1677, 2894, 1332, 2895, 2893, 2899, 2898, 729, 2897, 2896, 2902, 2901, 2900	11, 14	Jece in zmaji
31	2005	97	slab	407	985, 733, 979, 126, 487, 2924, 1198, 2925, 2926, 2927	3, 12	Edison
42	2002	118	slab	411	2954, 2953, 2952, 7, 2951, 2950	8, 10	Greh oceta Amara
85	2005	97	slab	413	1, 2968, 2969, 2966, 2967, 2964, 2965, 2962, 2963, 1842	2, 11, 12, 14	Elektra
25	2003	95	povprecen	414	2032, 2701, 1866, 2972, 2973, 2970, 174, 2971, 1400, 79	1, 13, 14	Skrat
65	2005	123	slab	104	2974, 2167, 2975, 564, 697, 1486, 1499, 2976, 329	8, 10	Elizabethtown
22	2002	113	dober	415	2985, 2984, 2986, 2981, 2980, 2983, 2982, 2977, 2979, 2978	8	Odpri srce
11	1988	96	slab	416	2989, 2988, 2991, 2990, 2987, 2996, 2997, 2998, 2992, 2993, 2994, 2995	1, 6, 14	Elvira, gospodarica teme
24	1979	112	dober	431	3114, 3112, 3113, 143, 3107, 3110, 3111, 74, 3108, 3109	3, 8	Pobeg iz Alcatraza
143	2004	108	povprecen	433	2974, 3115, 3067, 1216, 3116, 1039, 26, 2168	1, 18, 8, 10	Vecno sonce brezmadeznega uma
60	2002	120	dober	443	3165, 3167, 3166, 3170, 3171, 3168, 3169	3	Eksperiment
97	2004	122	dober	231	1006, 13361, 1632, 1754, 13362	5	Fahrenheit 9/11
13	1987	119	povprecen	12	3269, 288, 3268, 154, 3265, 3264, 3267, 3266, 2245, 619	3, 8	Usodna privlacnost
53	2003	90	povprecen	266	3303, 3302, 3301, 3300, 3299, 3298, 2415, 555, 3305, 3304	3, 6	Brez povratka 2
35	2004	113	slab	185, 472	411, 3347, 3346, 3345, 977, 3350, 3349, 1197, 689, 3348	2, 11	Feniksov let
28	2001	92	povprecen	478	3385, 3384, 3387, 3386, 272, 3389, 3388, 127, 5669, 3383	1, 2, 12	Formula 51
25	2004	84	povprecen	482	3428, 3429, 3424, 3425, 3426, 3427, 3423, 3422, 3421, 3420, 3419, 3418, 2517	2, 6	Frankenfish
21	1988	120	povprecen	485, 484	3437, 3438, 3439, 3444, 1813, 994, 3441, 3440, 3443, 3442	3, 12	Besnilo
