CODE_ID	NAME
1	Alejandro Gonzalez Inarritu
2	Steve Oedekerk
3	Tom Shadyac
4	David Barto
5	Alexander Payne
6	Paul Weitz
7	Chris Weitz
8	Fadil Hadzic
9	Stephen Gaghan
10	Jean-Pierre Jeunet
11	Dwight H. Little
12	Adrian Lyne
13	Mark Rance
14	Joel Schumacher
15	Arlene Sanford
16	Michael Corrente
17	Clint Eastwood
18	Andrew Davis
19	F. Gary Gray
20	Shainee Gabel
21	Morgan J. Freeman
22	Mary Harron
23	James B. Rogers
24	Paul Schrader
25	Nigel Cole
26	Laetitia Colombani
27	Brian Helgeland
28	Frank Marshall
29	Steven Quale
30	James Cameron
31	David Crane
32	Marta Kauffman
33	Sam Wood
34	Richard Standeven
35	Ridley Scott
36	Phil Monroe
37	Chuck Jones
38	Helmut Schleppi
39	Mark Mylod
40	Stanley Kubrick
41	Charles Shyer
42	Michael Curtiz
43	John Woo
44	Alexander Hammid
45	Robert Pulcini
46	Shari Springer Berman
47	Oliver Stone
48	Ron Howard
49	Satoshi Kon
50	J.S. Cardone
51	David Fincher
52	Curtis Hanson
53	Slobodan Stankovič
54	Ron Clements
55	John Musker
56	Jerry Zucker
57	David Zucker
58	Francois Ozon
59	Ken Finkleman
60	Bob Misiorowski
61	Simon Fellows
62	Michel Munz
63	J.J. Abrams
64	Peter Segal
65	Jim Wynorski
66	Damian Lee
67	Charles S. Dutton
68	Steve Drakos
69	John Stephenson
70	John Stephenson (II)
71	David Bell
72	Susan Ball
73	Martin Scorsese
74	Walt Kubiak
75	Walter Hill
76	Michael Lehmann
77	Demian Lichtenstein
78	Fabien Onteniente
79	Griffin Dunne
80	Scott Ziehl
81	Leonardo Ricagni
82	Spike Jonze
83	Nico Mastorakis
84	Alfred Hitchcock
85	Danny Boyle
86	Mladen Maticevic
87	Spike Lee
88	Wilfred Jackson
89	Clyde Geronimi
90	Pedro Almodovar
91	Michael Davis
92	Kevin Lima
93	Stephen Herek
94	Todd Phillips
95	Billy Bob Thornton
96	Peter Hyams
97	John Singleton
98	John Herzfeld
99	Rich Thorne
100	John Hamburg
101	Rick Rosenthal
102	Steven Stockage
103	Thomas Ashley
104	Cameron Crowe
105	Jill Sprecher
106	Steve Beck
107	Federico Fellini
108	Lee Tamahori
109	Paul W.S. Anderson
110	Elizabeth Allen
111	Joe Roth
112	Douglas Jackson
113	Eva Gardos
114	Taylor Hackford
115	Harold Ramis
116	Stefan Ruzowitzky
117	Roger Spottiswoode
118	Luis Mandoki
119	Paul Cade
120	Mike Nichols
121	Sydney Pollack
122	Dante Lam
123	Andy Tennant
124	Clarence Brown
125	Woody Allen
126	Larry Clark
127	Jerome Salle
128	Peter Howitt
129	George Tillman
130	Denzel Washington
131	Francis Ford Coppola
132	Brian Levant
133	Michael Bay
134	Frank Coraci
135	Stephen Frears
136	Steven Spielberg
137	Edward Burns
138	Jean-Francois Richet
139	Timur Bekmambetov
140	Claude Zidi
141	Alain Chabat
142	Claude Berri
143	David Mackenzie
144	Gary Trousdale
145	Kirk Wise
146	Jay Roach
147	Joan Chen
148	Richard Pearce
149	Mamoru Oshii
150	Paul Sabella
151	Toby Bluth
152	Charles Grosvenor
153	Patrick Read Johnson
154	Terrence Malick
155	Brian De Palma
156	Wych Kaosayananda
157	Martin Campbell
158	Reuben Leder
159	David Hand
160	Tom Hanks
161	David Frankel
162	Barry Levinson
163	Gene Saks
164	John McTiernan
165	Boyd Kirkland
166	Kent Butterworth
167	John Glen
168	Tim Burton
169	D.J. Caruso
170	Christopher Nolan
171	Curt Geda
172	Tim Maltby
173	Curtis Geda
174	Raoul Walsh
175	Roger Christian
176	William Wellman
177	Akiva Schaffer
178	Bille Woodruff
179	Wayne Wang
180	Scott McGehee
181	David Siegel
182	David Siegel (III)
183	Julie Delpy
184	Julian Schnabel
185	John Moore
186	Matia Karrell
187	IstvᮠSzab 
188	Siu-Tung Ching
189	Ching Siu Tung
190	Jonathan Demme
191	Jean-Paul Salome
192	Gurinder Chadha
193	Jack Bender
194	Daniel Attias
195	Allen Coulter
196	Mark L. Lester
197	Jean-Jacques Beineix
198	Edoardo Ponti
199	Nora Ephron
200	Maria von Heland
201	George Sherman
202	John Wayne
203	Stephen Daldry
204	Adam Cooper
205	Jerry Paris
206	Richard Kim
207	C. J. Lee
208	David Molina
209	Terry Shakespeare
210	Jez Butterworth
211	Caroline Thompson
212	Guillermo del Toro
213	David S. Goyer
214	Bernie Bonvoisin
215	Chuck Russell
216	Michael Hausman
217	Michael Haussman
218	Paul Greengrass
219	Norman Taurog
220	Jan Kounen
221	Philip J. Roth
222	David Flores
223	Ben Younger
224	Zdravko Šotra
225	Jeremy Wooding
226	Arthur Penn
227	Dragan Marinkovic
228	Stephen Hopkins
229	Morgan Freeman
230	Don Roos
231	Michael Moore
232	Roberta Hanley
233	Antoine Fuqua
234	Mel Gibson
235	Alexandre Arcady
236	Beeban Kidron
237	Sharon Maguire
238	Mark Palansky
239	Adam Shankman
240	Brian Trenchard-Smith
241	Aaron Blaise
242	Robert Walker
243	Robert Walker (VII)
244	Charles Braverman
245	Wim Wenders
246	Gregor Jordan
247	Vladimir Blazevski
248	Paul Hunter
249	Goran Paskaljevic
250	Joseph Mealey
251	Michael Shoob
252	Joseph Mealey (II)
253	Walt Becker
254	George Mihalka
255	Alan Simmonds
256	Andrew V. McLaglen
257	David Butler
258	Franco Zeffirelli
259	John Madden
260	Val Guest
261	Ken Hughes
262	Bart Freundlich
263	Richard Quine
264	Lawrence Guterman
265	Pitof
266	David R. Ellis
267	Roger Mitchell
268	Roger Michell
269	McG
270	Charles A. Nichols
271	Iwao Takamoto
272	Malcolm Clarke
273	Malcolm Clarke (II)
274	Shawn Levy
275	John Stockwell
276	Geoffrey Wright
277	Rob Marshall
278	Kari Skogland
279	Randa Haines
280	Lasse Hallström
281	Jerzy Antczak
282	Keith Truesdell
283	Joel Gallen
284	Jeremiah S. Chechik
285	Nick Marck
286	Stephen Burrows
287	Tomasz Konecki
288	Andrzej Saramonowicz
289	Chris Koch
290	Robert Iscove
291	Hamilton Luske
292	John Kafka
293	Karey Kirkpatrick
294	John Irvin
295	Jack Starrett
296	Jonathan Frakes
297	Jay Chandrasekhar
298	 Andy Garcia
299	Amy Heckerling
300	Thomas Carter
301	Thomas Carter (II)
302	George P. Cosmatos
303	Mike Figgis
304	Anthony Minghella
305	Michael Mann
306	James Robinson
307	John Landis
308	Alan Parker
309	Peter Askin
310	Douglas McGrath
311	Richard Fleischer
312	Peter MacDonald
313	George Clooney
314	Jordan Brady
315	James Foley
316	Richard Donner
317	Francis Lawrence
318	Robert Zemeckis
319	Jonathan Baker
320	Tim Hunter
321	Jon Amiel
322	Pascal Morelli
323	Edward Zwick
324	David McNally
325	Andrzej Bartkowiak
326	Michael Dinner
327	Michael Apted
328	Peter Faiman
329	Simon Wincer
330	Harry O'Reilly
331	Tamra Davis
332	Vincenzo Natali
333	Andrzej Sekula
334	Guy Manos
335	Angela Robinson
336	John N. Smith
337	Mark Steven Johnson
338	Jason Yee
339	Walter Salles
340	Zack Snyder
341	Tony Scott
342	Philip Noyce
343	Phillip Noyce
344	Paul Levine
345	Danny DeVito
346	Yossi Wein
347	Jovan Rancic
348	 Richard Roxburgh
349	Renny Harlin
350	Marco Brambilla
351	James Bruce
352	Michael Cimino
353	Sidney J. Furie
354	Mike Mitchell
355	Mike Mitchell (VI)
356	Joel Viertel
357	Bradford May
358	David Winkler
359	Jeremiah S Chechik
360	Gil Kenan
361	Sam Weisman
362	Norman Jewison
363	Emile Ardolino
364	Guy Ferland
365	David Caesar
366	Callie Khouri
367	Betty Thomas
368	Steve Carr
369	Steve Carr (III)
370	Rawson Marshall Thurber
