# of ratings:   # of users:
        238.0            14
        262.8            17
        287.5             4
        312.3             5
        337.0             3
        361.8             7
        386.6             4
        411.3             6
        436.1             4
        460.8             6
        485.6             2
        510.4             2
        535.1             1
        559.9             1
        584.6             4
        609.4             3
        634.2             1
        658.9             4
        683.7             0
        708.4             2
        733.2             0
        758.0             0
        782.7             1
        807.5             0
        832.2             2
        857.0             0
        881.8             0
        906.5             1
        931.3             0
        956.0             1
        980.8             0
       1005.6             0
       1030.3             0
       1055.1             0
       1079.8             1
       1104.6             1
       1129.4             1
       1154.1             0
       1178.9             1
       1203.6             0
       1228.4             0
       1253.2             0
       1277.9             0
       1302.7             0
       1327.4             0
       1352.2             0
       1377.0             0
       1401.7             0
       1426.5             0
       1451.2             1
