# of ratings:   # of users:
         10.0            47
         14.4            17
         18.9            27
         23.3            14
         27.8             8
         32.2             7
         36.6             6
         41.1             3
         45.5             2
         50.0             2
         54.4             3
         58.8             3
         63.3             0
         67.7             0
         72.2             1
         76.6             2
         81.0             0
         85.5             0
         89.9             1
         94.4             1
         98.8             1
        103.2             0
        107.7             0
        112.1             0
        116.6             1
        121.0             0
        125.4             0
        129.9             0
        134.3             0
        138.8             0
        143.2             2
        147.6             0
        152.1             0
        156.5             0
        161.0             0
        165.4             0
        169.8             0
        174.3             0
        178.7             0
        183.2             1
        187.6             0
        192.0             0
        196.5             0
        200.9             0
        205.4             0
        209.8             0
        214.2             0
        218.7             0
        223.1             0
        227.6             1
