# of ratings:   # of users:
         10.0          1029
         41.0           247
         72.0           126
        103.0            66
        134.0            37
        165.0            23
        196.0            18
        227.0            24
        258.0            12
        289.0            13
        320.0             7
        351.0             4
        382.0             7
        413.0             7
        444.0             8
        475.0             4
        506.0             3
        537.0             2
        568.0             1
        599.0             4
        630.0             4
        661.0             3
        692.0             2
        723.0             0
        754.0             1
        785.0             0
        816.0             1
        847.0             1
        878.0             0
        909.0             2
        940.0             0
        971.0             0
       1002.0             0
       1033.0             1
       1064.0             0
       1095.0             0
       1126.0             2
       1157.0             1
       1188.0             1
       1219.0             0
       1250.0             0
       1281.0             0
       1312.0             0
       1343.0             0
       1374.0             0
       1405.0             0
       1436.0             0
       1467.0             0
       1498.0             0
       1529.0             1
