# of ratings:   # of users:
         10.0          1000
         39.3           235
         68.6           125
         98.0            72
        127.3            30
        156.6            25
        185.9            14
        215.2            25
        244.6            18
        273.9             8
        303.2             7
        332.5             3
        361.8             9
        391.2             4
        420.5             6
        449.8             6
        479.1             4
        508.4             3
        537.8             0
        567.1             1
        596.4             6
        625.7             2
        655.0             4
        684.4             1
        713.7             1
        743.0             0
        772.3             1
        801.6             0
        831.0             2
        860.3             0
        889.6             0
        918.9             1
        948.2             1
        977.6             0
       1006.9             0
       1036.2             0
       1065.5             0
       1094.8             2
       1124.2             1
       1153.5             0
       1182.8             1
       1212.1             0
       1241.4             0
       1270.8             0
       1300.1             0
       1329.4             0
       1358.7             0
       1388.0             0
       1417.4             0
       1446.7             1
